-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,Giảm nhẹ,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Tăng tốt,Wow!!!,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm khá,Tăng tốt,-,-,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-
Tuesday 2019-10-29,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng nhẹ,-,-,Tăng ổn,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,-
Wednesday 2019-10-30,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Tăng ổn,-,Tăng nhẹ,-,Giảm mạnh,Tăng nhẹ,Giảm khá,-,Giảm khá,-,-,-,-,Tăng nhẹ,Giảm mạnh,-,Giảm nhẹ,Giảm khá,Tăng ổn,Tăng ổn,-
Thursday 2019-10-31,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm khá,Tăng ổn,Tăng nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-
Friday 2019-11-01,Tăng nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Saturday 2019-11-02,-,-,-,Tăng nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,-,-,-,-,-,-,Tăng nhẹ,-,-,-,-,-,-,-,-,-
Sunday 2019-11-03,-,-,-,Giảm nhẹ,-,-,-,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-
Monday 2019-11-04,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Tăng ổn,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ
Tuesday 2019-11-05,-,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,Tăng nhẹ,-,-,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,-,-,Giảm nhẹ,-,-,-
Wednesday 2019-11-06,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,Giảm nhẹ,-,-,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,-,-
