-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,Tăng tốt,-,-,Giảm mạnh,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Giảm mạnh,-,Giảm khá,Tăng tốt,Giảm khá
Tuesday 2019-10-29,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,Giảm khá,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng tốt,Wow!!!,Tăng tốt,Giảm mạnh,Tăng nhẹ,Giảm nhẹ,Tăng ổn,-,Tăng nhẹ,Giảm khá,Giảm nhẹ,-,Tăng nhẹ,Tăng nhẹ
Wednesday 2019-10-30,-,Giảm nhẹ,Tăng ổn,Giảm nhẹ,-,Tăng nhẹ,-,Giảm khá,Wow!!!,Giảm khá,Giảm nhẹ,Giảm nhẹ,Giảm khá,-,-,Tăng nhẹ,Tăng nhẹ,Giảm mạnh,Tăng nhẹ,-,Giảm khá,Tăng nhẹ,Tăng ổn,Giảm mạnh
Thursday 2019-10-31,Tăng nhẹ,Tăng ổn,Giảm nhẹ,-,-,Tăng ổn,Giảm khá,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm nhẹ,-,Giảm mạnh,-,Tăng nhẹ,Tăng tốt,Giảm nhẹ,Tăng nhẹ,Giảm khá,-
Friday 2019-11-01,-,Giảm nhẹ,-,-,-,-,-,-,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm khá,Tăng ổn,Giảm nhẹ,-,Giảm khá,-,Giảm nhẹ,Tăng nhẹ
Saturday 2019-11-02,Giảm nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Tăng ổn,-
Sunday 2019-11-03,-,-,-,Giảm nhẹ,-,Tăng nhẹ,-,Tăng ổn,Tăng nhẹ,Tăng ổn,-,Giảm khá,-,-,-,Giảm nhẹ,-,Giảm khá,-,-,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-
Monday 2019-11-04,Giảm nhẹ,-,-,-,-,Tăng ổn,Tăng nhẹ,Giảm nhẹ,-,-,Giảm nhẹ,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Giảm khá,-,Tăng nhẹ,Giảm nhẹ,-
Tuesday 2019-11-05,-,Giảm khá,Tăng nhẹ,Tăng ổn,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,-,-,Giảm nhẹ,-,-,Tăng nhẹ,-,-,-,-,Tăng nhẹ,Tăng ổn,Giảm nhẹ
Wednesday 2019-11-06,Giảm nhẹ,-,-,Giảm nhẹ,-,Giảm nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,Tăng nhẹ,Tăng tốt,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng ổn,Giảm nhẹ
Thursday 2019-11-07,Giảm nhẹ,-,Giảm nhẹ,Tăng nhẹ,Tăng nhẹ,-,Tăng nhẹ,Giảm nhẹ,Giảm khá,Giảm nhẹ,-,-,Tăng nhẹ,-,-,Giảm nhẹ,Giảm khá,-,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,Tăng nhẹ
Friday 2019-11-08,-,Tăng nhẹ,-,-,Tăng nhẹ,Tăng nhẹ,Giảm nhẹ,-,-,-,-,Giảm nhẹ,-,Giảm nhẹ,Giảm nhẹ,Giảm nhẹ,Tăng nhẹ,-,-,Giảm nhẹ,Giảm mạnh,Giảm nhẹ,Tăng ổn,Giảm khá
Saturday 2019-11-09,Tăng nhẹ,-,Tăng nhẹ,-,Tăng nhẹ,Giảm khá,Giảm nhẹ,Tăng nhẹ,-,-,-,-,Tăng nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,-,Giảm nhẹ,-,Tăng nhẹ,Giảm nhẹ,-,Giảm nhẹ
