-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,Nhẹ,-,Mạnh,-,Wow!!!,-,-,-,Nhẹ,-,-,Khá,-,-,-,-,-,-,-,Khá,-
Tuesday 2019-10-29,Khá,Khá,Mạnh,-,Nhẹ,-,-,Khá,Nhẹ,-,-,Nhẹ,-,-,Khá,-,-,Khá,-,-,Nhẹ,-,-,-
Wednesday 2019-10-30,-,-,-,Khá,-,Nhẹ,-,-,-,-,-,-,-,Nhẹ,Khá,Khá,Khá,-,-,-,Nhẹ,-,-,-
Thursday 2019-10-31,Nhẹ,Khá,Mạnh,-,-,-,Nhẹ,-,-,-,-,-,Khá,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-
Friday 2019-11-01,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,Khá,-,-,-,-,-,-
Saturday 2019-11-02,-,-,-,Nhẹ,-,-,-,-,-,Khá,Nhẹ,-,Nhẹ,Nhẹ,-,-,-,Nhẹ,Nhẹ,Khá,-,-,-,-
Sunday 2019-11-03,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,Nhẹ,-,-
Monday 2019-11-04,-,-,-,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-
Tuesday 2019-11-05,Khá,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,Khá,-,-,-,-,Nhẹ,-,-
Wednesday 2019-11-06,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-
