-,00:00 - 01:00,01:00 - 02:00,02:00 - 03:00,03:00 - 04:00,04:00 - 05:00,05:00 - 06:00,06:00 - 07:00,07:00 - 08:00,08:00 - 09:00,09:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 00:00
Monday 2019-10-28,-,-,-,-,-,Nhẹ,-,Mạnh,-,Nhẹ,-,-,-,-,-,-,Nhẹ,Nhẹ,-,-,-,-,Khá,-
Tuesday 2019-10-29,-,-,Khá,-,Nhẹ,-,-,Nhẹ,Nhẹ,-,-,Khá,-,-,Nhẹ,-,-,Nhẹ,-,-,-,Nhẹ,-,-
Wednesday 2019-10-30,-,-,-,Nhẹ,-,-,-,Nhẹ,Nhẹ,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-
Thursday 2019-10-31,Nhẹ,-,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,Nhẹ,-,-,-,Nhẹ
Friday 2019-11-01,Nhẹ,-,-,-,-,-,-,-,-,Khá,-,-,-,-,-,-,-,Nhẹ,-,-,-,Nhẹ,-,-
Saturday 2019-11-02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Sunday 2019-11-03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Monday 2019-11-04,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,Khá,-,-,-,Nhẹ,-,-
Tuesday 2019-11-05,-,-,-,-,-,-,Khá,Khá,-,-,Nhẹ,-,-,-,-,-,Nhẹ,-,-,-,-,Nhẹ,-,-
Wednesday 2019-11-06,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,Nhẹ,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-
Thursday 2019-11-07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ
Friday 2019-11-08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-
Saturday 2019-11-09,-,Nhẹ,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunday 2019-11-10,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,-,-,-,-,Khá
Monday 2019-11-11,-,-,-,Khá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-
Tuesday 2019-11-12,-,-,-,-,-,-,-,Nhẹ,-,-,-,-,-,-,Nhẹ,-,-,Nhẹ,-,-,-,-,Nhẹ,-
